Route_ID,Flight_Path,Distance_km,Flight_Time_min,Fuel_Consumption_kg,Weather_Risk_0_10,Airspace_Risk_0_10,Origin_IATA,Origin_ICAO,Waypoint_IATA,Waypoint_ICAO,Waypoint_City,Waypoint_Country,Waypoint_Lat,Waypoint_Lon,Destination_IATA,Destination_ICAO,Aircraft_Leg1,Aircraft_Leg2,Fuel_Actual_Equipment_kg,Hub_Scheduled_Routes
Route A,DEL -> HEL -> JFK,11830,846,71947,7.4,0.0,DEL,VIDP,HEL,EFHK,Helsinki,Finland,60.3172,24.9633,JFK,KJFK,Airbus A330-300,Airbus A330-300,78620,320
Route B,DEL -> AMS -> JFK,12211,871,74223,9.8,7.4,DEL,VIDP,AMS,EHAM,Amsterdam,Netherlands,52.3086,4.7639,JFK,KJFK,Boeing 777-300ER,Boeing 777-300ER,102396,903
Route C,DEL -> LHR -> JFK,12271,875,74581,10.0,9.3,DEL,VIDP,LHR,EGLL,London,United Kingdom,51.4706,-0.4619,JFK,KJFK,Airbus A330-300,Airbus A330-300,81504,1051
Route D,DEL -> BRU -> JFK,12285,876,74664,9.9,3.9,DEL,VIDP,BRU,EBBR,Brussels,Belgium,50.9014,4.4844,JFK,KJFK,Airbus A330-200,Airbus A330-300,80125,631
Route E,DEL -> FRA -> JFK,12310,878,74815,9.7,8.5,DEL,VIDP,FRA,EDDF,Frankfurt,Germany,50.0333,8.5706,JFK,KJFK,Boeing 787-8,Airbus A380-800,115971,990
Route F,DEL -> VIE -> JFK,12351,881,75060,9.3,3.8,DEL,VIDP,VIE,LOWW,Vienna,Austria,48.1103,16.5697,JFK,KJFK,Boeing 767-300,Boeing 777-200,84359,616
Route G,DEL -> MUC -> JFK,12381,883,75236,9.5,5.2,DEL,VIDP,MUC,EDDM,Munich,Germany,48.3538,11.7861,JFK,KJFK,Airbus A330-300,Airbus A330-300,82221,728
Route H,DEL -> CDG -> JFK,12399,884,75347,9.9,9.1,DEL,VIDP,CDG,LFPG,Paris,France,49.0128,2.55,JFK,KJFK,Airbus A330-200,Airbus A330-200,79495,1041
Route I,DEL -> IST -> JFK,12592,897,76500,7.6,5.1,DEL,VIDP,IST,LTFM,Istanbul,Turkey,41.2753,28.7519,JFK,KJFK,Boeing 777-300ER,Boeing 777-300ER,105552,719
Route J,DEL -> FCO -> JFK,12799,910,77737,8.3,4.3,DEL,VIDP,FCO,LIRF,Rome,Italy,41.8003,12.2389,JFK,KJFK,Airbus A330-300,Airbus A330-300,84958,662
Route K,DEL -> DXB -> JFK,13185,936,80048,3.1,4.9,DEL,VIDP,DXB,OMDB,Dubai,United Arab Emirates,25.2528,55.3644,JFK,KJFK,Airbus A320,Airbus A380-800,151292,710
Route L,DEL -> ORD -> JFK,13209,938,80191,5.8,10.0,DEL,VIDP,ORD,KORD,Chicago,United States,41.9786,-87.9048,JFK,KJFK,Boeing 777-300ER,Airbus A320,104267,1108
Route M,DEL -> AUH -> JFK,13309,944,80788,3.0,2.0,DEL,VIDP,AUH,OMAA,Abu Dhabi,United Arab Emirates,24.433,54.6511,JFK,KJFK,Airbus A320,Boeing 777-300ER,99222,477
Route N,DEL -> DOH -> JFK,13319,945,80847,3.2,0.7,DEL,VIDP,DOH,OTHH,Doha,Qatar,25.2731,51.6081,JFK,KJFK,Boeing 787-8,Boeing 777-300ER,104565,377
Route O,DEL -> ICN -> JFK,15741,1106,95334,3.2,5.3,DEL,VIDP,ICN,RKSI,Seoul,South Korea,37.4691,126.451,JFK,KJFK,Airbus A330-300,Airbus A380-800,176550,740
Route P,DEL -> HKG -> JFK,16717,1171,101168,0.0,4.9,DEL,VIDP,HKG,VHHH,Hong Kong,Hong Kong,22.3089,113.915,JFK,KJFK,Airbus A330-200,Boeing 777-300ER,132346,710
